"ID

※入力不要","word
称号用ワード","furigana
ふりがな","publish_type
配布・販売種別

 'shop'
 => '一般称号(販売)',
 'login'     
=> '一般称号(期間内ログインで配布)',
'medal'    
 => 'メダル称号',
 'record'    
=> '特別称号(実績に応じて配布)',
 'evet'     
 => '特別称号(イベント時プレイにより配布)'
 'special'  
 => '特別称号(手動配布)',
","index
販売・設定用索引キー

a:あ行
ka:か行
sa:さ行
taた行
naな行
haは行
maま行
yaや行
raら行
waわ行
English:英語
number:数字
symbol:記号
other:その他
medal:メダル
special:特別","sub_index
サブ索引キー

あ,い,う,え,お などの2番目の索引。indexがひらがなのもののみ記入してください

あかさたな・・
a,ka,sa,ta,na,. ..
いきしちに・・
i,ki,si,ti,ni, ...
うくすつぬ・・
u,ku,su,tu,nu...
・・・","publish_start
配布開始日時

「一般称号(期間内ログインで配布)」「特別称号(イベント時プレイにより配布)」で使
用","publish_end
配布終了日時

「一般称号(期間内ログインで配布)」「特別称号(イベント時プレイにより配布)」で使
用","event_key
対応するイベントNO

「特別称号(イベント時プレイにより配布)」で使用

※Dcode内のイベントフラグと
連動しますので、これ単独で設定をしても配布されることはありません

※本来はNOが入るがとりあえず、今は名前で代用","medal_key
対応するメダルNO

「メダル称号」で使用<br />

※Dcode内のメダルフラグと連動しますので、これ単独で設
定をしても配布されることはありません","record_key
対応する実績条件キー

「特別称号(実績に応じて配布)」で使用

※TAITO様からお送りいただく月間戦績な
どのデータと連動しますので、これ単独で設定をしても配布されることはありません

※本来は条件キーが入るが、今は名前で代用","publish_status
配布ステータス

1:配布中
0:配布停止

一般称号（販売用）とイベント称号の時に使用。
これが0の時には、販売や配布を停止する

後から追加予定のものはここを0にして書いておいて頂いても大丈夫です","use_status
使用ステータス

1:称号に使用可
0:不可

0の場合には称号設定画面で選択できない

基本的には使うことはない想定のステータスだが、念のため用意

後から追加予定のものはここを0にして書いておいても大丈夫です",タイムスタンプ,メモ,メモ
,42,42,shop,number,,,,,,,1,1,,,
,43,43,shop,number,,,,,,,1,1,,,
,44,44,shop,number,,,,,,,1,1,,,
,45,45,shop,number,,,,,,,1,1,,,
,46,46,shop,number,,,,,,,1,1,,,
,47,47,shop,number,,,,,,,1,1,,,
,48,48,shop,number,,,,,,,1,1,,,
,49,49,shop,number,,,,,,,1,1,,,
,50,50,shop,number,,,,,,,1,1,,,
,51,51,shop,number,,,,,,,1,1,,,
,52,52,shop,number,,,,,,,1,1,,,
,53,53,shop,number,,,,,,,1,1,,,
,54,54,shop,number,,,,,,,1,1,,,
,55,55,shop,number,,,,,,,1,1,,,
,56,56,shop,number,,,,,,,1,1,,,
,57,57,shop,number,,,,,,,1,1,,,
,58,58,shop,number,,,,,,,1,1,,,
,59,59,shop,number,,,,,,,1,1,,,
,60,60,shop,number,,,,,,,1,1,,,
,61,61,shop,number,,,,,,,1,1,,,
,62,62,shop,number,,,,,,,1,1,,,
,63,63,shop,number,,,,,,,1,1,,,
,64,64,shop,number,,,,,,,1,1,,,
,65,65,shop,number,,,,,,,1,1,,,
,66,66,shop,number,,,,,,,1,1,,,
,67,67,shop,number,,,,,,,1,1,,,
,68,68,shop,number,,,,,,,1,1,,,
,69,69,shop,number,,,,,,,1,1,,,
,70,70,shop,number,,,,,,,1,1,,,
,71,71,shop,number,,,,,,,1,1,,,
,72,72,shop,number,,,,,,,1,1,,,
,73,73,shop,number,,,,,,,1,1,,,
,74,74,shop,number,,,,,,,1,1,,,
,75,75,shop,number,,,,,,,1,1,,,
,76,76,shop,number,,,,,,,1,1,,,
,77,77,shop,number,,,,,,,1,1,,,
,78,78,shop,number,,,,,,,1,1,,,
,79,79,shop,number,,,,,,,1,1,,,
,80,80,shop,number,,,,,,,1,1,,,
,81,81,shop,number,,,,,,,1,1,,,
,82,82,shop,number,,,,,,,1,1,,,
,83,83,shop,number,,,,,,,1,1,,,
,84,84,shop,number,,,,,,,1,1,,,
,85,85,shop,number,,,,,,,1,1,,,
,86,86,shop,number,,,,,,,1,1,,,
,87,87,shop,number,,,,,,,1,1,,,
,88,88,shop,number,,,,,,,1,1,,,
,89,89,shop,number,,,,,,,1,1,,,
,90,90,shop,number,,,,,,,1,1,,,
,91,91,shop,number,,,,,,,1,1,,,
,92,92,shop,number,,,,,,,1,1,,,
,93,93,shop,number,,,,,,,1,1,,,
,94,94,shop,number,,,,,,,1,1,,,
,95,95,shop,number,,,,,,,1,1,,,
,96,96,shop,number,,,,,,,1,1,,,
,97,97,shop,number,,,,,,,1,1,,,
,98,98,shop,number,,,,,,,1,1,,,
,99,99,shop,number,,,,,,,1,1,,,
,100,100,shop,number,,,,,,,1,1,,,
,1000,1000,shop,number,,,,,,,1,1,,,
,10000,10000,shop,number,,,,,,,1,1,,,
,－,－,shop,symbol,,,,,,,1,1,,,
,ー,ー,shop,symbol,,,,,,,1,1,,,
,…,…,shop,symbol,,,,,,,1,1,,,
,＠,＠,shop,symbol,,,,,,,1,1,,,
,＋,＋,shop,symbol,,,,,,,1,1,,,
,÷,÷,shop,symbol,,,,,,,1,1,,,
,×,×,shop,symbol,,,,,,,1,1,,,
,＝,＝,shop,symbol,,,,,,,1,1,,,
,☆,☆,shop,symbol,,,,,,,1,1,,,
,♀,♀,shop,symbol,,,,,,,1,1,,,
,♂,♂,shop,symbol,,,,,,,1,1,,,
,♪,♪,shop,symbol,,,,,,,1,1,,,
,A級,Aきゅう,shop,english,,,,,,,1,1,,,
,B級,Ｂきゅう,shop,english,,,,,,,1,1,,,
,ｃｍ,ｃｍ,shop,english,,,,,,,1,1,,,
,CLIMAX,CLIMAX,shop,english,,,,,,,1,1,,,
,CP,CP,shop,english,,,,,,,1,1,,,
,C級,Ｃきゅう,shop,english,,,,,,,1,1,,,
,D-1,D-1,shop,english,,,,,,,1,1,,,
,Dr.,Dr.,shop,english,,,,,,,1,1,,,
,FANTASTIC,FANTASTIC,shop,english,,,,,,,1,1,,,
,FIGHTING,FIGHTING,shop,english,,,,,,,1,1,,,
,FIRST,FIRST,shop,english,,,,,,,1,1,,,
,ｇ,ｇ,shop,english,,,,,,,1,1,,,
,GAME,GAME,shop,english,,,,,,,1,1,,,
,GRADE,GRADE,shop,english,,,,,,,1,1,,,
,IGNITION,IGNITION,shop,english,,,,,,,1,1,,,
,IQ,IQ,shop,english,,,,,,,1,1,,,
,ｋｇ,ｋｇ,shop,english,,,,,,,1,1,,,
,ｋｍ,ｋｍ,shop,english,,,,,,,1,1,,,
,MASTER,MASTER,shop,english,,,,,,,1,1,,,
,ｍｍ,ｍｍ,shop,english,,,,,,,1,1,,,
,Mr.,Mr.,shop,english,,,,,,,1,1,,,
,Ms.,Ms.,shop,english,,,,,,,1,1,,,
,OK,OK,shop,english,,,,,,,1,1,,,
,ROUND,ROUND,shop,english,,,,,,,1,1,,,
,SECOND,SECOND,shop,english,,,,,,,1,1,,,
,SERVICE,SERVICE,shop,english,,,,,,,1,1,,,
,SPECIAL,SPECIAL,shop,english,,,,,,,1,1,,,
,SUPER,SUPER,shop,english,,,,,,,1,1,,,
,ｔ,ｔ,shop,english,,,,,,,1,1,,,
,The,The,shop,english,,,,,,,1,1,,,
,THIRD,THIRD,shop,english,,,,,,,1,1,,,
,ULTRA,ULTRA,shop,english,,,,,,,1,1,,,
,VS,VS,shop,english,,,,,,,1,1,,,
,WIKI,WIKI,shop,english,,,,,,,1,1,,,
,WONDERFUL,WONDERFUL,shop,english,,,,,,,1,1,,,
,あ,あ,shop,a,a,,,,,,1,1,,,
,ア,あ,shop,a,a,,,,,,1,1,,,
,ぁ,ぁ,shop,a,a,,,,,,1,1,,,
,ァ,ぁ,shop,a,a,,,,,,1,1,,,
,アーク,あーく,shop,a,a,,,,,,1,1,,,
,アークス,あーくす,shop,a,a,,,,,,1,1,,,
,アーケード,あーけーど,shop,a,a,,,,,,1,1,,,
,アート,あーと,shop,a,a,,,,,,1,1,,,
,アーマー,あーまー,shop,a,a,,,,,,1,1,,,
,アーミー,あーみー,shop,a,a,,,,,,1,1,,,
,アーム,あーむ,shop,a,a,,,,,,1,1,,,
,アイ,あい,shop,a,a,,,,,,1,1,,,
,愛,あい,shop,a,a,,,,,,1,1,,,
,藍,あい,shop,a,a,,,,,,1,1,,,
,アイアン,あいあん,shop,a,a,,,,,,1,1,,,
,アイス,あいす,shop,a,a,,,,,,1,1,,,
,あいつ,あいつ,shop,a,a,,,,,,1,1,,,
,アイディア,あいでぃあ,shop,a,a,,,,,,1,1,,,
,相手,あいて,shop,a,a,,,,,,1,1,,,
,アイドル,あいどる,shop,a,a,,,,,,1,1,,,
,アウト,あうと,shop,a,a,,,,,,1,1,,,
,青,あお,shop,a,a,,,,,,1,1,,,
,赤,あか,shop,a,a,,,,,,1,1,,,
,暁,あかつき,shop,a,a,,,,,,1,1,,,
,アカデミー,あかでみー,shop,a,a,,,,,,1,1,,,
,秋,あき,shop,a,a,,,,,,1,1,,,
,アキレス,あきれす,shop,a,a,,,,,,1,1,,,
,アクア,あくあ,shop,a,a,,,,,,1,1,,,
,悪,あく,shop,a,a,,,,,,1,1,,,
,アクション,あくしょん,shop,a,a,,,,,,1,1,,,
,アクセル,あくせる,shop,a,a,,,,,,1,1,,,
,曙,あけぼの,shop,a,a,,,,,,1,1,,,
,朝,あさ,shop,a,a,,,,,,1,1,,,
,浅草,あさくさ,shop,a,a,,,,,,1,1,,,
,アサシン,あさしん,shop,a,a,,,,,,1,1,,,
,あざとい,あざとい,shop,a,a,,,,,,1,1,,,
,あざらし,あざらし,shop,a,a,,,,,,1,1,,,
,アサルト,あさると,shop,a,a,,,,,,1,1,,,
,味,あじ,shop,a,a,,,,,,1,1,,,
,アジア,あじあ,shop,a,a,,,,,,1,1,,,
,亜種,あしゅ,shop,a,a,,,,,,1,1,,,
,阿修羅,あしゅら,shop,a,a,,,,,,1,1,,,
,亜硝酸,あしょうさん,shop,a,a,,,,,,1,1,,,
,アステカ,あすてか,shop,a,a,,,,,,1,1,,,
,アステロイド,あすてろいど,shop,a,a,,,,,,1,1,,,
,アスパラガス,あすぱらがす,shop,a,a,,,,,,1,1,,,
,アスファルト,あすふぁると,shop,a,a,,,,,,1,1,,,
,アスペクト比,あすぺくとひ,shop,a,a,,,,,,1,1,,,
,アスリート,あすりーと,shop,a,a,,,,,,1,1,,,
,汗,あせ,shop,a,a,,,,,,1,1,,,
,遊び,あそび,shop,a,a,,,,,,1,1,,,
,暖かい,あたたかい,shop,a,a,,,,,,1,1,,,
,アタッカー,あたっかー,shop,a,a,,,,,,1,1,,,
,アタック,あたっく,shop,a,a,,,,,,1,1,,,
,頭,あたま,shop,a,a,,,,,,1,1,,,
,熱海,あたみ,shop,a,a,,,,,,1,1,,,
,あちら,あちら,shop,a,a,,,,,,1,1,,,
,熱い,あつい,shop,a,a,,,,,,1,1,,,
,熱くなるな,あつくなるな,shop,a,a,,,,,,1,1,,,
,圧倒的,あっとうてき,shop,a,a,,,,,,1,1,,,
,当身,あてみ,shop,a,a,,,,,,1,1,,,
,跡形,あとかた,shop,a,a,,,,,,1,1,,,
,あどけない,あどけない,shop,a,a,,,,,,1,1,,,
,アドベント,あどべんと,shop,a,a,,,,,,1,1,,,
,アトミック,あとみっく,shop,a,a,,,,,,1,1,,,
,アナーキー,あなーきー,shop,a,a,,,,,,1,1,,,
,アナウンサー,あなうんさー,shop,a,a,,,,,,1,1,,,
,あなた,あなた,shop,a,a,,,,,,1,1,,,
,兄,あに,shop,a,a,,,,,,1,1,,,
,兄貴,あにき,shop,a,a,,,,,,1,1,,,
,兄者,あにじゃ,shop,a,a,,,,,,1,1,,,
,アニソン,あにそん,shop,a,a,,,,,,1,1,,,
,アニマル,あにまる,shop,a,a,,,,,,1,1,,,
,アニメ,あにめ,shop,a,a,,,,,,1,1,,,
,姉,あね,shop,a,a,,,,,,1,1,,,
,姉貴,あねき,shop,a,a,,,,,,1,1,,,
,姉者,あねじゃ,shop,a,a,,,,,,1,1,,,
,あの,あの,shop,a,a,,,,,,1,1,,,
,網走,あばしり,shop,a,a,,,,,,1,1,,,
,アバター,あばたー,shop,a,a,,,,,,1,1,,,
,危ない,あぶない,shop,a,a,,,,,,1,1,,,
,油揚げ,あぶらあげ,shop,a,a,,,,,,1,1,,,
,アフリカ,あふりか,shop,a,a,,,,,,1,1,,,
,アポロ,あぽろ,shop,a,a,,,,,,1,1,,,
,海女,あま,shop,a,a,,,,,,1,1,,,
,甘い,あまい,shop,a,a,,,,,,1,1,,,
,甘酸っぱい,あまずっぱい,shop,a,a,,,,,,1,1,,,
,雨,あめ,shop,a,a,,,,,,1,1,,,
,飴,あめ,shop,a,a,,,,,,1,1,,,
,アメリカ,あめりか,shop,a,a,,,,,,1,1,,,
,アメリカン,あめりかん,shop,a,a,,,,,,1,1,,,
,怪しい,あやしい,shop,a,a,,,,,,1,1,,,
,荒,あら,shop,a,a,,,,,,1,1,,,
,嵐,あらし,shop,a,a,,,,,,1,1,,,
,アラスカ,あらすか,shop,a,a,,,,,,1,1,,,
,アラビア,あらびあ,shop,a,a,,,,,,1,1,,,
,有明,ありあけ,shop,a,a,,,,,,1,1,,,
,ありえない,ありえない,shop,a,a,,,,,,1,1,,,
,ありがたい,ありがたい,shop,a,a,,,,,,1,1,,,
,ありがとう,ありがとう,shop,a,a,,,,,,1,1,,,
,アリゲーター,ありげーたー,shop,a,a,,,,,,1,1,,,
,アル,ある,shop,a,a,,,,,,1,1,,,
,アルコール,あるこーる,shop,a,a,,,,,,1,1,,,
,アルゼンチン,あるぜんちん,shop,a,a,,,,,,1,1,,,
,アルティメット,あるてぃめっと,shop,a,a,,,,,,1,1,,,
,あれ,あれ,shop,a,a,,,,,,1,1,,,
,あろうことか,あろうことか,shop,a,a,,,,,,1,1,,,
,暗,あん,shop,a,a,,,,,,1,1,,,
,アンダー,あんだー,shop,a,a,,,,,,1,1,,,
,アンチ,あんち,shop,a,a,,,,,,1,1,,,
,アンド,あんど,shop,a,a,,,,,,1,1,,,
,アンドロメダ,あんどろめだ,shop,a,a,,,,,,1,1,,,
,アンノウン,あんのうん,shop,a,a,,,,,,1,1,,,
,アンパン,あんぱん,shop,a,a,,,,,,1,1,,,
,い,い,shop,a,i,,,,,,1,1,,,
,イ,い,shop,a,i,,,,,,1,1,,,
,位,い,shop,a,i,,,,,,1,1,,,
,異,い,shop,a,i,,,,,,1,1,,,
,ぃ,ぃ,shop,a,i,,,,,,1,1,,,
,ィ,ぃ,shop,a,i,,,,,,1,1,,,
,いい,いい,shop,a,i,,,,,,1,1,,,
,いいえ,いいえ,shop,a,i,,,,,,1,1,,,
,委員会,いいんかい,shop,a,i,,,,,,1,1,,,
,イーグル,いーぐる,shop,a,i,,,,,,1,1,,,
,イージー,いーじー,shop,a,i,,,,,,1,1,,,
,イージス,いーじす,shop,a,i,,,,,,1,1,,,
,言うなれば,いうなれば,shop,a,i,,,,,,1,1,,,
,イエス,いえす,shop,a,i,,,,,,1,1,,,
,イエロー,いえろー,shop,a,i,,,,,,1,1,,,
,イカ,いか,shop,a,i,,,,,,1,1,,,
,雷,いかづち,shop,a,i,,,,,,1,1,,,
,怒り,いかり,shop,a,i,,,,,,1,1,,,
,錨,いかり,shop,a,i,,,,,,1,1,,,
,遺憾,いかん,shop,a,i,,,,,,1,1,,,
,息,いき,shop,a,i,,,,,,1,1,,,
,粋,いき,shop,a,i,,,,,,1,1,,,
,息抜き,いきぬき,shop,a,i,,,,,,1,1,,,
,イギリス,いぎりす,shop,a,i,,,,,,1,1,,,
,イグアナ,いぐあな,shop,a,i,,,,,,1,1,,,
,池袋,いけぶくろ,shop,a,i,,,,,,1,1,,,
,戦,いくさ,shop,a,i,,,,,,1,1,,,
,イクチオステガ,いくちおすてが,shop,a,i,,,,,,1,1,,,
,イグニッション,いぐにっしょん,shop,a,i,,,,,,1,1,,,
,イコール,いこーる,shop,a,i,,,,,,1,1,,,
,いざ,いざ,shop,a,i,,,,,,1,1,,,
,石,いし,shop,a,i,,,,,,1,1,,,
,医師,いし,shop,a,i,,,,,,1,1,,,
,一,いち,shop,a,i,,,,,,1,1,,,
,苺,いちご,shop,a,i,,,,,,1,1,,,
,いつ,いつ,shop,a,i,,,,,,1,1,,,
,いつか,いつか,shop,a,i,,,,,,1,1,,,
,一緒に,いっしょに,shop,a,i,,,,,,1,1,,,
,言ったよね,いったよね,shop,a,i,,,,,,1,1,,,
,否,いな,shop,a,i,,,,,,1,1,,,
,稲妻,いなずま,shop,a,i,,,,,,1,1,,,
,電,いなずま,shop,a,i,,,,,,1,1,,,
,犬,いぬ,shop,a,i,,,,,,1,1,,,
,今,いま,shop,a,i,,,,,,1,1,,,
,芋,いも,shop,a,i,,,,,,1,1,,,
,妹,いもうと,shop,a,i,,,,,,1,1,,,
,イヤ,いや,shop,a,i,,,,,,1,1,,,
,いらない,いらない,shop,a,i,,,,,,1,1,,,
,西表島,いりおもてじま,shop,a,i,,,,,,1,1,,,
,いる,いる,shop,a,i,,,,,,1,1,,,
,色,いろ,shop,a,i,,,,,,1,1,,,
,岩,いわ,shop,a,i,,,,,,1,1,,,
,印,いん,shop,a,i,,,,,,1,1,,,
,院,いん,shop,a,i,,,,,,1,1,,,
,陰,いん,shop,a,i,,,,,,1,1,,,
,因果応報,いんがおうほう,shop,a,i,,,,,,1,1,,,
,インヴァース,いんう゛ぁーす,shop,a,i,,,,,,1,1,,,
,引退,いんたい,shop,a,i,,,,,,1,1,,,
,インパクト,いんぱくと,shop,a,i,,,,,,1,1,,,
,インファイター,いんふぁいたー,shop,a,i,,,,,,1,1,,,
,インファイト,いんふぁいと,shop,a,i,,,,,,1,1,,,
,う,う,shop,a,u,,,,,,1,1,,,
,ウ,う,shop,a,u,,,,,,1,1,,,
,ぅ,ぅ,shop,a,u,,,,,,1,1,,,
,ゥ,ぅ,shop,a,u,,,,,,1,1,,,
,魚,うお,shop,a,u,,,,,,1,1,,,
,迂闊,うかつ,shop,a,u,,,,,,1,1,,,
,ウクライナ,うくらいな,shop,a,u,,,,,,1,1,,,
,受け,うけ,shop,a,u,,,,,,1,1,,,
,兎,うさぎ,shop,a,u,,,,,,1,1,,,
,牛,うし,shop,a,u,,,,,,1,1,,,
,薄い,うすい,shop,a,u,,,,,,1,1,,,
,嘘,うそ,shop,a,u,,,,,,1,1,,,
,歌,うた,shop,a,u,,,,,,1,1,,,
,撃つ,うつ,shop,a,u,,,,,,1,1,,,
,虚ろ,うつろ,shop,a,u,,,,,,1,1,,,
,撃て,うて,shop,a,u,,,,,,1,1,,,
,ウニ,うに,shop,a,u,,,,,,1,1,,,
,馬,うま,shop,a,u,,,,,,1,1,,,
,旨い,うまい,shop,a,u,,,,,,1,1,,,
,海,うみ,shop,a,u,,,,,,1,1,,,
,梅,うめ,shop,a,u,,,,,,1,1,,,
,有耶無耶,うやむや,shop,a,u,,,,,,1,1,,,
,裏,うら,shop,a,u,,,,,,1,1,,,
,瓜,うり,shop,a,u,,,,,,1,1,,,
,熟れ,うれ,shop,a,u,,,,,,1,1,,,
,運,うん,shop,a,u,,,,,,1,1,,,
,え,え,shop,a,e,,,,,,1,1,,,
,エ,え,shop,a,e,,,,,,1,1,,,
,ぇ,ぇ,shop,a,e,,,,,,1,1,,,
,ェ,ぇ,shop,a,e,,,,,,1,1,,,
,エア,えあ,shop,a,e,,,,,,1,1,,,
,英,えい,shop,a,e,,,,,,1,1,,,
,絵描き,えかき,shop,a,e,,,,,,1,1,,,
,エクストリーム,えくすとりーむ,shop,a,e,,,,,,1,1,,,
,エコ,えこ,shop,a,e,,,,,,1,1,,,
,餌,えさ,shop,a,e,,,,,,1,1,,,
,絵師,えし,shop,a,e,,,,,,1,1,,,
,エジプト,えじぷと,shop,a,e,,,,,,1,1,,,
,エセ,エセ,shop,a,e,,,,,,1,1,,,
,蝦夷,えぞ,shop,a,e,,,,,,1,1,,,
,エックス,えっくす,shop,a,e,,,,,,1,1,,,
,エッジ,えっじ,shop,a,e,,,,,,1,1,,,
,エデン,えでん,shop,a,e,,,,,,1,1,,,
,江戸,えど,shop,a,e,,,,,,1,1,,,
,獲物,えもの,shop,a,e,,,,,,1,1,,,
,エル,える,shop,a,e,,,,,,1,1,,,
,エンダー,えんだー,shop,a,e,,,,,,1,1,,,
,お,お,shop,a,o,,,,,,1,1,,,
,オ,お,shop,a,o,,,,,,1,1,,,
,ぉ,ぉ,shop,a,o,,,,,,1,1,,,
,ォ,ぉ,shop,a,o,,,,,,1,1,,,
,オーガ,おーが,shop,a,o,,,,,,1,1,,,
,オーガニック,おーがにっく,shop,a,o,,,,,,1,1,,,
,オーバー,おーばー,shop,a,o,,,,,,1,1,,,
,追う,おう,shop,a,o,,,,,,1,1,,,
,王,おう,shop,a,o,,,,,,1,1,,,
,黄金,おうごん,shop,a,o,,,,,,1,1,,,
,追え,おえ,shop,a,o,,,,,,1,1,,,
,終え,おえ,shop,a,o,,,,,,1,1,,,
,丘,おか,shop,a,o,,,,,,1,1,,,
,お母様,おかあさま,shop,a,o,,,,,,1,1,,,
,お母さん,おかあさん,shop,a,o,,,,,,1,1,,,
,お母ちゃん,おかあちゃん,shop,a,o,,,,,,1,1,,,
,おかしい,おかしい,shop,a,o,,,,,,1,1,,,
,お菓子,おかし,shop,a,o,,,,,,1,1,,,
,起き,おき,shop,a,o,,,,,,1,1,,,
,置き,おき,shop,a,o,,,,,,1,1,,,
,億,おく,shop,a,o,,,,,,1,1,,,
,奥,おく,shop,a,o,,,,,,1,1,,,
,お断り,おことわり,shop,a,o,,,,,,1,1,,,
,怒る,おこる,shop,a,o,,,,,,1,1,,,
,長,おさ,shop,a,o,,,,,,1,1,,,
,オスマントルコ,おすまんとるこ,shop,a,o,,,,,,1,1,,,
,オセアニア,おせあにあ,shop,a,o,,,,,,1,1,,,
,恐れ,おそれ,shop,a,o,,,,,,1,1,,,
,恐ろしい,おそろしい,shop,a,o,,,,,,1,1,,,
,恐ろしく,おそろしく,shop,a,o,,,,,,1,1,,,
,小樽,おたる,shop,a,o,,,,,,1,1,,,
,落ち着け,おちつけ,shop,a,o,,,,,,1,1,,,
,乙,おつ,shop,a,o,,,,,,1,1,,,
,お疲れ,おつかれ,shop,a,o,,,,,,1,1,,,
,音,おと,shop,a,o,,,,,,1,1,,,
,お父様,おとうさま,shop,a,o,,,,,,1,1,,,
,お父さん,おとうさん,shop,a,o,,,,,,1,1,,,
,お父ちゃん,おとうちゃん,shop,a,o,,,,,,1,1,,,
,鬼,おに,shop,a,o,,,,,,1,1,,,
,お兄様,おにいさま,shop,a,o,,,,,,1,1,,,
,お兄さん,おにいさん,shop,a,o,,,,,,1,1,,,
,お兄ちゃん,おにいちゃん,shop,a,o,,,,,,1,1,,,
,おにぎり,おにぎり,shop,a,o,,,,,,1,1,,,
,お姉様,おねえさま,shop,a,o,,,,,,1,1,,,
,お姉さん,おねえさん,shop,a,o,,,,,,1,1,,,
,お姉ちゃん,おねえちゃん,shop,a,o,,,,,,1,1,,,
,斧,おの,shop,a,o,,,,,,1,1,,,
,オフ,おふ,shop,a,o,,,,,,1,1,,,
,おまえ,おまえ,shop,a,o,,,,,,1,1,,,
,親,おや,shop,a,o,,,,,,1,1,,,
,お湯,おゆ,shop,a,o,,,,,,1,1,,,
,オラ,おら,shop,a,o,,,,,,1,1,,,
,オランダ,おらんだ,shop,a,o,,,,,,1,1,,,
,折れた,おれた,shop,a,o,,,,,,1,1,,,
,終,おわり,shop,a,o,,,,,,1,1,,,
,尾張,おわり,shop,a,o,,,,,,1,1,,,
,オン,おん,shop,a,o,,,,,,1,1,,,
,オンパレード,おんぱれーど,shop,a,o,,,,,,1,1,,,
,オンライン,おんらいん,shop,a,o,,,,,,1,1,,,
,か,か,shop,ka,ka,,,,,,1,1,,,
,カ,か,shop,ka,ka,,,,,,1,1,,,
,が,が,shop,ka,ka,,,,,,1,1,,,
,ガ,が,shop,ka,ka,,,,,,1,1,,,
